product_type,brand,price_layer,target
Type_D,Brand10,3,dislike
Type_E,Brand1,5,dislike
Type_C,Brand1,4,soso
Type_E,Brand9,3,dislike
Type_E,Brand2,2,like
Type_B,Brand7,2,soso
Type_C,Brand10,2,dislike
Type_C,Brand4,1,like
Type_C,Brand7,5,like
Type_E,Brand8,1,dislike
Type_D,Brand5,2,like
Type_C,Brand1,3,soso
Type_F,Brand4,2,like
Type_E,Brand10,3,soso
Type_B,Brand3,5,soso
Type_D,Brand10,4,soso
Type_F,Brand5,3,dislike
Type_F,Brand10,1,like
Type_B,Brand10,2,dislike
Type_D,Brand6,2,dislike
Type_E,Brand2,2,soso
Type_A,Brand7,3,dislike
Type_D,Brand3,5,like
Type_B,Brand1,3,dislike
Type_F,Brand10,1,dislike
Type_E,Brand3,2,soso
Type_D,Brand9,3,soso
Type_A,Brand10,2,dislike
Type_A,Brand11,1,soso
Type_C,Brand11,4,dislike
Type_C,Brand6,4,like
Type_B,Brand11,4,like
Type_D,Brand6,2,soso
Type_D,Brand4,3,like
Type_F,Brand8,2,like
Type_F,Brand5,5,dislike
Type_F,Brand7,3,soso
Type_C,Brand9,1,like
Type_D,Brand5,4,soso
Type_D,Brand11,3,soso
Type_A,Brand5,3,soso
Type_C,Brand4,4,like
Type_E,Brand6,1,soso
Type_C,Brand2,2,soso
Type_E,Brand3,2,dislike
Type_A,Brand1,3,dislike
Type_B,Brand2,4,dislike
Type_D,Brand2,5,dislike
Type_A,Brand8,1,soso
Type_D,Brand8,2,dislike
Type_F,Brand2,1,dislike
Type_B,Brand6,1,like
Type_B,Brand5,1,dislike
Type_A,Brand3,4,dislike
Type_B,Brand5,4,like
Type_E,Brand5,4,soso
Type_B,Brand5,3,soso
Type_D,Brand3,4,like
Type_D,Brand3,3,like
Type_D,Brand4,2,soso
Type_D,Brand7,2,dislike
Type_E,Brand2,2,like
Type_C,Brand10,2,like
Type_F,Brand4,2,like
Type_A,Brand4,4,soso
Type_D,Brand1,5,soso
Type_B,Brand10,4,soso
Type_D,Brand8,5,soso
Type_B,Brand1,4,soso
Type_F,Brand8,2,dislike
Type_F,Brand7,1,dislike
Type_F,Brand9,5,soso
Type_B,Brand8,1,soso
Type_D,Brand5,2,soso
Type_F,Brand8,5,like
Type_E,Brand11,1,like
Type_B,Brand10,4,soso
Type_B,Brand3,2,soso
Type_D,Brand10,4,like
Type_B,Brand7,4,like
Type_B,Brand4,2,like
Type_F,Brand5,5,like
Type_D,Brand9,3,like
Type_F,Brand7,3,soso
Type_F,Brand4,2,soso
Type_D,Brand6,3,like
Type_A,Brand10,1,soso
Type_F,Brand11,5,like
