product_type,brand,price_layer,target,target_c,target_o,target_B
Type_B,Brand4,1,like,86.31076442024859,1000,1
Type_E,Brand7,1,soso,79.40237242514442,1000,1
Type_B,Brand7,1,soso,59.10959648058751,1000,0
Type_D,Brand9,2,soso,63.0077169702965,10000,0
Type_E,Brand10,5,dislike,48.98901948339745,1000,0
Type_E,Brand2,1,soso,100.24848224903263,10,1
Type_F,Brand4,4,soso,131.48551509467742,100,1
Type_F,Brand3,5,like,78.71973340799596,10,1
Type_B,Brand3,3,soso,111.25790150916617,1000,1
Type_E,Brand7,1,like,47.33780342326831,100,0
Type_A,Brand10,3,like,116.23052281016669,100,1
Type_E,Brand6,1,soso,63.55128774055152,10,0
Type_C,Brand3,5,like,79.41908140431693,100,1
Type_A,Brand8,3,dislike,92.42632684835543,10000,1
Type_D,Brand8,2,dislike,51.14823403043171,1000,0
Type_B,Brand7,1,dislike,88.6631414329729,100,1
Type_B,Brand9,4,like,81.51122506745132,10000,1
Type_F,Brand3,3,dislike,84.27356008496555,10000,1
Type_C,Brand5,4,dislike,72.34425527522143,10,1
Type_B,Brand6,3,like,81.56990176433973,10000,1
Type_D,Brand9,5,soso,60.95481125623859,10,0
Type_E,Brand4,4,like,56.034297212829955,10,0
Type_B,Brand5,1,like,41.407402662694125,10,0
Type_D,Brand9,2,soso,98.13171905284028,1000,1
Type_F,Brand11,5,dislike,48.66725443177834,10000,0
Type_A,Brand4,3,dislike,48.00472805562746,10,0
Type_D,Brand2,1,like,55.323590880084296,1000,0
Type_F,Brand9,3,dislike,81.29816533395393,100,1
Type_C,Brand11,4,like,67.55305291840646,10,1
Type_D,Brand3,4,like,55.128080549852456,100,0
Type_B,Brand11,2,dislike,33.711101005075065,1000,0
Type_E,Brand6,4,like,57.45690944313689,10,0
Type_D,Brand9,5,dislike,82.2932789051737,10000,1
Type_C,Brand3,3,soso,82.52654949381898,10,1
Type_A,Brand8,3,like,51.96573137575232,10,0
Type_C,Brand9,5,dislike,87.47361352083301,1000,1
Type_F,Brand3,4,soso,127.9969460906853,10,1
Type_A,Brand3,4,like,89.58358782014204,10,1
Type_D,Brand4,5,soso,122.03461678404001,10,1
Type_E,Brand1,2,like,102.51867547649408,10000,1
Type_C,Brand2,1,dislike,70.92622558535004,100,1
Type_E,Brand1,1,soso,91.01310209364709,1000,1
Type_F,Brand3,4,soso,132.3144873666842,10,1
Type_D,Brand6,1,soso,79.23934761277792,1000,1
Type_E,Brand8,1,dislike,79.08001418697344,1000,1
Type_E,Brand5,1,like,50.55272612025195,10,0
Type_C,Brand8,4,dislike,67.02640155393908,10,1
Type_D,Brand6,3,soso,122.37350463277379,10,1
Type_E,Brand1,4,soso,113.21720664786048,100,1
Type_A,Brand3,4,soso,111.88679769725539,1000,1
Type_B,Brand2,2,dislike,51.053045885368405,1000,0
Type_A,Brand6,2,soso,128.39969281688292,10,1
Type_F,Brand8,4,like,57.9407656590055,100,0
Type_E,Brand6,5,like,108.9474289389874,10000,1
Type_D,Brand4,5,dislike,14.180770005788045,100,0
Type_A,Brand4,2,like,82.60798716596761,10,1
Type_D,Brand9,2,dislike,64.54801178766888,100,0
Type_F,Brand1,3,dislike,33.59553035046449,10000,0
Type_A,Brand2,2,soso,115.86353241401332,100,1
Type_D,Brand4,1,dislike,27.516987669075696,10,0
Type_E,Brand3,4,soso,86.52851788877314,10000,1
Type_C,Brand9,4,like,108.339832508714,100,1
Type_A,Brand5,4,like,64.90530600546795,1000,0
Type_F,Brand8,3,soso,122.06353320996652,1000,1
Type_D,Brand4,3,soso,59.50216563366188,1000,0
Type_A,Brand11,1,like,40.83350671419736,10000,0
Type_D,Brand4,4,dislike,26.3140123936015,10000,0
Type_D,Brand10,1,soso,65.18808789844286,10000,1
Type_C,Brand11,2,soso,135.15043698511093,10000,1
Type_D,Brand3,4,soso,60.604309347504035,100,0
Type_A,Brand9,1,dislike,23.856110288999712,10,0
Type_F,Brand10,3,dislike,25.66220446460483,10,0
Type_E,Brand2,3,soso,102.46877782513494,10000,1
Type_F,Brand11,3,like,73.36038070068356,1000,1
Type_B,Brand11,1,dislike,73.2004318120866,100,1
Type_D,Brand3,1,soso,80.49759641019472,100,1
Type_B,Brand3,1,dislike,14.510756575258554,1000,0
Type_E,Brand11,5,like,60.76383307071556,10000,0
Type_F,Brand11,4,dislike,77.56128024103504,10,1
Type_B,Brand3,5,like,101.04499587243272,100,1
Type_D,Brand4,5,dislike,72.3688896909396,1000,1
Type_A,Brand5,2,soso,85.74101277118541,10,1
Type_F,Brand6,2,soso,103.4890585015361,100,1
Type_F,Brand5,3,soso,63.33243172478549,1000,0
Type_C,Brand9,5,like,52.65412880679732,100,0
Type_F,Brand7,2,like,52.23041843271247,10000,0
Type_D,Brand7,5,dislike,17.48700808422326,100,0
Type_D,Brand7,4,soso,131.80441787422728,10000,1
Type_C,Brand11,5,dislike,48.114703769974994,10,0
Type_C,Brand7,3,like,106.16524102553174,10,1
Type_F,Brand2,1,soso,70.07442623217332,10000,1
Type_C,Brand8,3,dislike,77.03601392259681,10000,1
Type_C,Brand10,5,dislike,80.15180258566633,100,1
Type_C,Brand1,5,dislike,11.393800690291563,10,0
Type_D,Brand6,1,dislike,13.932143838752138,1000,0
Type_B,Brand11,3,like,110.20951349482604,10000,1
Type_A,Brand3,3,like,79.91831195925678,10,1
Type_D,Brand6,5,dislike,35.46989729065639,1000,0
Type_E,Brand6,4,like,46.999261554737785,1000,0
Type_F,Brand8,2,soso,121.33642304534379,100,1
Type_D,Brand4,5,soso,67.64889922266002,10000,1
Type_F,Brand3,5,dislike,83.5620795780609,10,1
Type_D,Brand2,2,soso,104.51775400561687,10,1
Type_B,Brand6,1,soso,107.77738300799493,1000,1
Type_F,Brand3,5,dislike,48.622504066157674,10,0
Type_C,Brand4,4,like,34.103168125111495,1000,0
Type_F,Brand9,1,dislike,58.706866991678034,100,0
Type_E,Brand7,1,dislike,72.38533241367827,10,1
Type_B,Brand1,1,like,31.262944858431524,100,0
Type_A,Brand4,5,like,33.23691573894871,100,0
Type_E,Brand11,1,like,109.0074512835602,1000,1
Type_E,Brand8,3,soso,109.50994304934682,10000,1
Type_B,Brand10,5,like,99.00185886624593,10,1
Type_E,Brand4,5,soso,53.280006420834034,10,0
Type_D,Brand1,2,like,65.45991343176959,10,1
Type_D,Brand10,1,dislike,75.25290065285645,1000,1
Type_C,Brand2,5,like,38.86965714819036,100,0
Type_B,Brand5,4,dislike,27.20023698219517,1000,0
Type_D,Brand6,4,dislike,54.761727800071284,100,0
Type_E,Brand1,5,like,107.82965733842019,1000,1
Type_E,Brand5,5,soso,79.28051766745268,10,1
Type_D,Brand8,4,soso,122.19207348624974,1000,1
Type_B,Brand8,4,soso,51.7907563065801,10000,0
Type_B,Brand2,3,dislike,26.65478386608137,1000,0
Type_A,Brand9,4,soso,75.9675967792914,10000,1
Type_B,Brand2,3,dislike,71.98412338038057,100,1
Type_F,Brand4,5,like,80.81898769196054,1000,1
Type_F,Brand10,1,soso,73.73697256324579,1000,1
Type_F,Brand4,1,like,81.0087296940576,10,1
Type_D,Brand4,2,like,107.51946955768524,10,1
Type_A,Brand7,3,dislike,51.368044260344234,10000,0
Type_E,Brand8,4,dislike,70.86227991030471,100,1
Type_D,Brand8,3,dislike,40.7133009690859,100,0
Type_C,Brand4,2,dislike,72.28506871638305,1000,1
Type_C,Brand4,2,soso,125.56437100082087,10,1
Type_B,Brand6,3,dislike,59.7352190434216,1000,0
Type_A,Brand9,4,like,64.21000254440315,10,0
Type_A,Brand5,5,soso,115.86576488798589,100,1
Type_E,Brand2,5,soso,133.2261818989435,100,1
Type_B,Brand9,5,soso,56.861578897424465,10,0
Type_A,Brand9,2,soso,95.41067863443992,1000,1
Type_D,Brand11,3,dislike,26.652583265012638,100,0
Type_E,Brand1,2,soso,74.56579484431501,10000,1
Type_A,Brand9,4,soso,105.708390610559,100,1
Type_C,Brand7,1,soso,133.5421963437858,10000,1
Type_C,Brand1,2,dislike,84.3613484706335,10,1
Type_A,Brand2,4,dislike,33.15386233748589,1000,0
Type_F,Brand2,4,soso,53.07880380171688,10,0
Type_F,Brand8,4,soso,102.54260552293736,100,1
Type_C,Brand1,1,like,76.91174332304558,1000,1
Type_D,Brand11,5,soso,90.58370453517425,1000,1
Type_E,Brand3,3,like,71.86971374512773,10,1
Type_D,Brand1,2,like,81.88686863920431,10,1
Type_C,Brand5,1,soso,85.14629156439486,100,1
Type_A,Brand4,4,dislike,25.72740924666701,10000,0
Type_A,Brand3,1,dislike,33.287029730530016,10,0
Type_E,Brand8,2,soso,56.493188753850895,1000,0
Type_C,Brand7,3,like,35.82029994549063,10000,0
Type_C,Brand4,2,dislike,85.59653809365543,10,1
Type_C,Brand1,1,dislike,21.78271024237557,10,0
Type_B,Brand7,4,like,36.92735242347829,10,0
Type_A,Brand3,4,dislike,82.06819564926397,10000,1
Type_C,Brand5,5,like,113.00480160881388,10,1
Type_E,Brand8,5,soso,68.69352854241674,100,1
Type_F,Brand9,3,like,96.12688828775316,10,1
Type_B,Brand10,3,dislike,24.978761091128888,1000,0
Type_C,Brand11,5,soso,109.54443809169805,10,1
Type_A,Brand10,5,soso,109.45748507247988,1000,1
Type_F,Brand7,2,dislike,47.92009256800146,10000,0
Type_B,Brand6,2,dislike,86.8530256177654,10,1
Type_D,Brand5,4,like,41.41025632196232,10,0
