product_type,price
U,137.13269366389696
C,281.50159721784564
M,220.84316136253398
U,74.94187452667302
O,101.71746966898276
D,338.95406011968583
C,209.15025777523368
M,222.68655285323376
A,364.76813256717236
O,109.6997859247221
O,184.73098806417812
M,215.19798652829715
D,313.2638239599477
M,181.48234304077826
A,387.46013828273874
M,160.45075115473193
O,83.88550885190296
D,272.1510584862202
A,340.93689244755626
O,189.10047616168404
A,323.6538382732477
M,142.58023164804862
A,320.0086034695793
C,271.4461270766044
U,94.25223714406813
A,283.0312483657505
C,278.05587566589935
M,180.32711115900304
D,308.92741016483023
C,193.63398061351737
M,181.6865885642817
O,82.91415714180587
U,142.40004709667306
A,413.7016219772239
M,251.85802680190852
C,218.98166824973393
D,330.0552297825983
D,234.07946111473086
A,357.3501156382414
D,235.9818396544318
A,451.2395042171329
C,245.00277536129687
U,50.876051908180195
D,302.45197645221407
C,182.1511308092506
M,185.92380448579678
O,213.95756942860004
M,263.0446838435958
D,228.48519602274123
D,283.3002685732575
U,89.49578884239688
A,297.6386699763935
O,242.7797032860028
D,291.1648530853668
A,351.9492082924305
C,332.9440734100731
O,93.1599610594258
M,168.841760591807
O,135.01076667313885
U,142.53907075473845
O,131.45489561156833
O,107.3249968435581
D,356.892739036324
O,173.62579613703778
D,295.7547565865405
M,100.71021875667002
C,167.2404076520107
M,181.36739039576702
A,274.24420015483463
M,183.73607999102308
A,248.64152721330848
M,131.33595028892677
U,107.7557968358542
D,287.85872997395
D,426.86732404250154
U,52.10800419463663
M,135.3653838387511
A,342.0322034809515
D,292.09110673273614
U,151.14358797970604
M,187.32232211313428
M,201.74255889121963
M,171.12558884488266
D,375.0873418474687
D,222.93372211686864
U,79.62611811997357
O,130.6907750362318
M,259.5610609742478
A,328.5028318586397
U,49.82775109941877
O,297.2394231191974
U,86.19380022602843
M,168.6300797386337
C,194.82422046398239
M,229.99949130116778
D,227.95181296362617
C,287.6865672146849
D,277.9203415447103
C,279.9971807053039
C,190.25206662428258
M,207.99837302307432
M,147.41526146724323
M,176.485589643954
O,90.35600434827197
M,197.82251191188038
A,354.81325464504107
O,226.38994791362074
A,374.12493568968483
M,211.24259546943054
O,177.3546482335436
D,413.6676042348246
A,379.349640946536
A,318.0835379398574
C,227.12193362041486
D,296.97563074012595
M,224.70583606435486
M,221.3588597483784
A,368.9704116184201
D,245.23871406982616
D,261.4333172144727
U,51.11872963173822
U,90.50655956768865
O,120.72452878230787
U,163.48229629768397
O,162.8879170277805
O,150.9711535917988
D,349.65642267739787
D,259.87598101217446
A,404.70436691793196
U,69.56141390647895
A,385.82364187868336
C,324.12876230147197
U,53.56446408778563
D,403.51800530065134
O,161.6964421389711
A,393.81189518506864
O,206.5965379131046
A,490.7408975680838
U,107.9480739998892
O,207.871371572987
O,143.20526335815424
A,456.01028538882014
O,184.5321804721527
A,293.2226714904915
M,317.61764983837367
M,132.5584968382266
M,186.3508292063534
A,341.9983555731043
M,301.9902503923672
O,118.0227038384414
D,289.30503492167844
U,93.04161860620965
M,122.04667954455743
A,358.57809277294064
M,171.26512468993016
A,403.2927875186788
U,132.03680914555926
A,382.6483673816115
O,88.89853640564435
C,290.14607794244574
D,213.15327770091127
C,255.66552594779887
U,54.162111037587344
M,256.940595678887
O,140.9928043088987
M,257.724076084269
O,130.31718568486468
D,344.8166814108121
O,190.9918955514833
M,182.52303752323022
C,215.71616209834477
C,310.4183543747254
D,282.06307794071836
M,146.52479979210847
O,109.65759897086461
O,241.6367293037132
U,43.30562329536024
D,393.26365807811123
M,158.02156693538365
A,368.74986401119645
D,252.5108373716819
O,68.90529435582376
O,75.7822574123458
M,260.98161207986493
C,348.8532263421606
M,237.41656675559838
U,127.70470498789629
O,184.3045937294507
A,313.26320134614554
A,381.58339042583094
D,352.6418940430274
D,323.1971465648364
A,352.5043548963768
U,80.78722727272759
O,224.84211540578812
U,68.10286142025146
A,420.26219588377677
A,349.1861543012582
M,138.48920488967016
C,374.8588754883891
M,305.1916987190383
A,377.6667409143566
C,184.508498718234
O,183.25490803570847
U,99.4712855799635
M,202.91411724793664
M,320.1085859738115
U,81.61798064930537
U,155.343604971971
O,145.55161335815282
A,331.43223694750776
A,377.083961170156
U,54.15377811403716
U,60.70846402219228
U,135.95826093691016
O,221.5209954896199
A,423.77885473830406
U,135.780752771151
C,271.0930724042752
D,386.74869271612147
A,283.35321630910624
M,275.09888651444396
A,360.8573651542468
U,19.557314747435257
D,369.1393097112793
U,122.8770344337761
A,395.068279160559
D,238.5111922657953
A,334.40043050325136
C,268.95658386834987
C,189.12503657042205
A,447.7604748947093
M,240.43886623073897
C,269.3904202234828
D,297.36620625254386
D,282.7846845734858
A,219.39370722022568
M,162.7556539420907
O,154.3645251900136
A,321.32628612538076
C,230.58180164538115
C,323.72653373174717
D,316.06392643490375
C,299.0697190925603
D,295.35904567525137
M,170.9064440843797
M,294.4379039165838
M,240.8174958055121
A,372.34984818038924
U,133.12805783086333
D,259.6727086515047
O,186.05698184359477
A,342.99740816966295
U,55.50128729918841
A,289.8020013338216
M,225.71370170500566
D,287.30472096537517
O,170.73458154486235
U,115.56172151313977
A,293.1197076458103
M,191.26264720550358
M,198.6052673647261
M,192.33596933138256
O,60.788645488864745
C,222.06398171919778
O,15.3488087271141
O,112.74322934626508
A,365.6088756575698
D,312.4442800199683
C,286.4239008489096
A,396.4547252053019
C,246.8323278576574
C,297.771057541033
M,185.66867442557404
O,45.15842069446242
M,309.25534820236925
D,345.97399583647484
U,155.2845929059232
C,242.7218572722424
A,369.4224293424552
M,195.07619377063702
O,83.12359403251841
A,277.3777419562101
O,108.1308310359286
D,205.7944623100574
D,224.74799672196437
A,346.11142924801663
D,318.6021612326791
D,338.8726309061957
U,64.81777342447316
A,476.7452612238467
M,252.32424241741268
D,285.22450170891875
C,285.60978783109346
O,173.4853561017321
M,128.20434405672404
A,358.6953893185336
D,354.679212880516
U,115.02866832847747
A,358.26640118718075
O,134.80315377572168
C,275.73841947081564
D,346.262224517043
O,77.36324235140319
A,410.64020700493154
C,309.16508946878025
A,395.69287279381297
C,277.4191164338808
A,385.4654520448071
O,143.11862971443412
O,122.1969937661071
M,186.95816963213272
M,151.18845804362832
C,218.7735582785091
M,194.31266535904703
C,285.9402572055901
A,306.50422763303385
A,315.9378171211501
C,283.5859034133702
O,206.6703327341056
D,334.89381243272135
A,386.89994402398906
A,401.24755683753887
M,132.53449747263983
D,197.5831414185745
D,245.81341422787594
A,340.5162995911793
D,321.03509486677314
D,223.2497704934233
U,179.1061058554398
C,251.92711081189105
C,310.64971172185517
O,108.54852252387262
C,171.73744752293425
D,304.838326146817
O,26.19199817103158
U,75.33579865977836
A,333.7236039454859
M,199.8658349638074
M,257.5883586403617
A,332.39451163291176
O,106.80254565398856
D,280.0457382861082
A,399.97138039253537
O,217.6576032361212
C,241.16270712546174
M,183.57462039301768
U,31.88836603369731
M,237.11734236473094
A,381.50321501861
U,119.46809419552443
M,206.46413491488437
C,232.75333228909705
M,189.2260741425609
U,150.6892902120909
D,230.48352728813362
D,385.41160805817003
O,180.04844867206342
U,63.034079272529034
M,208.75317261671827
C,251.04231271380394
U,44.63488164587708
U,1.2
O,164.42529106251746
C,272.3899215475079
C,170.02241684676642
M,227.99617656956002
U,205.46000283234326
O,170.4402204774335
M,262.8440549264323
U,119.23163932966912
D,324.98065817458183
O,161.24770594296123
U,98.56013789304802
A,260.236029083081
M,206.95784603267018
U,81.98297597046064
O,164.530679680592
U,1.2
C,277.06806126944053
M,196.5442181293986
A,327.931503267507
M,188.37375349713608
U,274.8770264729236
D,211.71896808876147
O,134.53288785277547
C,151.41204810252523
O,205.58199870289656
A,433.2726226892822
D,318.98710685099417
U,83.17684008430027
A,291.1702487255459
A,317.98350331602046
U,135.7060459691384
A,367.64360857537804
A,437.22058459540546
D,359.5610624227938
U,40.258697813553255
A,308.2156576107189
C,294.6888712725692
A,351.8643049197419
D,309.8662001180452
D,387.55388336495395
D,211.74852046304594
C,324.64710141847695
A,342.7791600422225
D,319.45029173195843
U,157.61277784025515
A,369.36787865541555
A,348.3874407095362
M,229.17082005458772
C,253.76607177229283
D,348.0261999416755
D,317.9123038987244
D,246.98203513931298
M,159.21958209172885
D,326.01219175357863
D,290.30010626627853
A,401.4875397891254
D,324.1680039859724
D,301.1603460943642
O,153.74823756836338
C,183.78385229925402
O,155.49505011629412
D,352.23282201878527
C,307.9385119701192
O,178.03568145721096
U,107.44258217020777
U,136.44565159231385
A,364.97361860726227
D,285.9208280101171
D,238.25416409122514
D,255.44318716066826
O,1.2
U,29.52553148665814
M,224.1045796310883
D,313.1885669507457
A,277.9205597548398
O,131.2223575984768
D,328.97075740407314
D,254.59745571213827
O,110.81292589823354
D,236.03260574110115
O,99.04965036415341
M,207.55700079191584
A,369.75087691834614
M,138.33469824660676
U,137.51489200958176
A,226.62263136538704
A,362.0373243573117
C,246.2294554553184
A,351.17682066097626
A,344.01726653468467
M,121.14374250414993
M,177.4342706770614
D,378.98328244652066
M,168.16156401212015
D,240.24085430208638
O,103.40744147213896
M,207.81962471898936
A,347.19833618482903
O,133.31137688993286
O,177.47380746231346
U,140.3602953536723
C,232.91763626248394
D,224.183274146645
A,254.69729755657914
C,226.37274510280335
D,346.3171167955155
A,313.60134459024454
M,148.27003420019435
C,224.367428772241
U,1.2
A,400.0319100860049
U,105.05669856336702
M,275.58242555456786
M,171.82285540542387
U,51.62792001518961
A,372.6581150568245
D,246.41527272409436
U,76.13431756957236
U,150.5461713403402
D,254.40022390518774
U,29.43332120215713
M,159.21585879375215
D,342.83458420853447
M,175.58185702689966
C,324.64595608122795
D,259.7324899944151
O,129.66311995631577
C,288.238044217191
C,295.51133863964054
U,1.2
O,165.76727794600285
O,145.05635636449676
O,95.19395528059614
M,197.8280126801097
D,218.06165744288856
D,284.62675512154436
U,59.71390056698096
A,260.3196517881996
C,301.22294610291794
D,228.4752258553796
A,388.0795872291694
M,136.4733396926849
M,217.89525999023067
O,144.24731430767616
D,241.40800061390715
M,256.1345725452876
D,277.9370437312573
A,334.0191455598103
M,196.8876755919991
D,278.9843118554691
